num_articulo;descripcion1;descripcion2;texto_busqueda;pto_venta;family;cod_1;cod_2;cod_3;id_un_med_1;id_un_med_2;cat_lm;tipo_almacenamiento;tipo_linea;status
10100001;MAGNESITE ABRASIVE L:140 #36;LUNA ABRASIVI;ORIGEN: ITALIA;98;INP;FKT;MGN;IPU;UN;UN;IN01;P;S;1
10100002;Caja Kraft 44X88 ILVA;VERSION 00;Caja Kraft 44X88 ILVA VER. 00;98;EBG;CAJ;BSE;ISE;UN;UN;IN04;P;S;1
10100003;Caja AUTOARMABLE 22x88 ILVA;VERSION 01;Caja AUTOARMABLE 22x88 ILVA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100004;Caja Blc.P/Guarda Geminis;VERSION 0;CAJA;98;EBG;CAJ;ACC;IAC;UN;UN;IN04;P;S;1
10100005;MAGNESITE ABRASIVE L:170 #36;LUNA ABRASIVI;ORIGEN: ITALIA;98;INP;FKT;MGN;IPU;UN;UN;IN01;P;S;1
10100006;ABRASIVO GRANA L:170 #46;ABRASIVO GRANA L:170 #46;ABRASIVO GRANA L:170 #46;98;INP;FKT;RSN;IPU;UN;UN;IN01;P;S;1
10100008;Caja Autoarm. Imp 12x30 ILVA;305x115x125 - VERSION 01;CAJA;98;EBG;CAJ;ACC;IAC;UN;UN;IN04;P;S;1
10100012;Caja Autoarmable 15x30 ILVA;300x280x150 - VERSION 03;CAJA;98;EBG;CAJ;ACC;IAC;UN;UN;IN04;P;S;1
10100014;Caja Blc.Imp.Autoar.Guar Colla;360x290x70 - VERSION 02;CAJA;98;EBG;CAJ;ACC;IAC;UN;UN;IN04;P;S;1
10100015;Caja Blc.P/escalon Ang 34x34;VERSION 0;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100016;Caja Blc.P/escalon Ang 30x30;VERSION 0;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100024;Caja Blanca Impr. 35x35 Crossv;VERSION 4;CAJA;98;EBG;CAJ;BSE;ISE;UN;UN;IN04;P;S;1
10100026;MAGNESITE ABRASIVE L:140 #46;LUNA ABRASIVI;ORIGEN: ITALIA;98;INP;FKT;MGN;IPU;UN;UN;IN01;P;S;1
10100028;Caja Bla Imp 50x50 Crossv Porc;VERSION 03;CAJA;98;EBG;CAJ;BSE;ISE;UN;UN;IN04;P;S;1
10100040;Caja Kraf Impr 35x35 Onyx ILVA;VERSION 3;CAJA;98;EBG;CAJ;BSE;ISE;UN;UN;IN04;P;S;1
10100048;Caja Blanc P/Zoc 8x35 Crossv;350x185x100  - VERSION 01;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100049;Caja Blc Imp 25u 8.5x34 cm;345x205x85 - VERSION 02;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100050;Caja P/Guarda Ang. Porc 35x17;360x175x185 - VERSION 02;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100051;Caja P/escalon Porc 35x35;VERSION 0;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100052;Caja Imp 8.5x44 ILVA V.01;Caja Imp 8.5x44 ILVA V.01;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100053;Caja S/Impr 10x10x10 P/Acces;100x100x100 - VERSION 0;CAJA;98;EBG;CAJ;ACC;IAC;UN;UN;IN04;P;S;1
10100054;Caja Autoar Imp Moldura 20X30;390x300x55 - VERSION 02;CAJA;98;EBG;CAJ;ACC;IAC;UN;UN;IN04;P;S;1
10100055;Caja Impr 22x44 ILVA;VERSION 01;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100056;Caja Kraf Impr 35x35 Porc ILVA;VERSION 7;Caja Kraf Impr 35x35 Porc ILVA;98;EBG;CAJ;BSE;ISE;UN;UN;IN04;P;S;1
10100057;Caja Kraf Impr 35x35 ILVA 10PZ;VERSION 0;Caja Kraf Impr 35x35 ILVA 10PZ;98;EBG;CAJ;BSE;ISE;UN;UN;IN04;P;S;1
10100058;Caja Kraf Impr 50x50 ILVA V04;VERSION 04;CAJA;98;EBG;CAJ;BSE;ISE;UN;UN;IN04;P;S;1
10100059;Caja Blc P/Zocalo 8,5x35 Ilva;345x180x95 - VERSION 02;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100061;Caja 8.5x8.5 SobreMalla ILVA;360x360x90 - VERSION 02;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100062;Caja P/esca Porc P.Patag 35x35;VERSION 0;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
10100063;Caja P/esca Porc.Pat 35x35 RED;VERSION 0;CAJA;98;EBG;CAJ;CRT;ICO;UN;UN;IN04;P;S;1
