codigo_jde;num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status
1143441;26000239;TERMOMETRO DIGITAL LASER INFRA;RROJO MOD;SUN;SUN;1
1180429;12000470;RULLO PACCODISCHI ANCORA A SET;TORI SP 4,5 MM POS. 1;SUN;SUN;1
1267591;12200373;CONJUNTO MOTOR IMM71B4 1370RPM; 0,37KW;SUN;SUN;1
12883331;25156554;ENCODER SIKO MSK 24VDC        ;COD;SUN;SUN;1
12892835;26100881;AP4131;;SUN;SUN;1
12899121;25156632;BANDA MAGNETICA SIKO          ;COD;SUN;SUN;1
12942100;10800555;EJE CONICO 1;;SUN;SUN;1
13080767;25101102;FOTOCELULA BANNER S18SN6DQ    ;NPN NA+NC SALIDA RAN;SUN;SUN;1
13090973;11701973;EJE MOTORES M4J02;;SUN;SUN;1
13091888;12100805;REDUCTOR MRPNRV0900004 N°309  ;MAQ;SUN;SUN;1
13096099;11100613;POLEA MOTOR  5V PERFIL AMERICA; NO ESTRECHA PL;SUN;SUN;1
13097041;25101258;CONECTOR 10MM COD;;SUN;SUN;1
13097059;25101259;CONECTOR 16MM COD;;SUN;SUN;1
13097067;25101260;CONECTOR 20MM COD;;SUN;SUN;1
13097075;25101261;CONECTOR 32MM COD;;SUN;SUN;1
13097083;25101262;CONECTOR 50MM COD;;SUN;SUN;1
13097091;25101263;PUNTERA SPARK P/CABLE 0,5MM   ;COD;SUN;SUN;1
13097104;25101264;PUNTERA SPARK P/CABLE 0,75MM  ;COD;SUN;SUN;1
13097112;25101265;PUNTERA SPARK P/CABLE 1,00MM  ;COD;SUN;SUN;1
13097121;25101266;PUNTERA SPARK P/CABLE 1,50MM  ;COD;SUN;SUN;1
13097139;25101267;PUNTERA SPARK P/CABLE 2,50MM  ;COD;SUN;SUN;1
13097542;22700201;CONO DE MEDICION ARGENSOLD    ;COD;SUN;SUN;1
13098086;10300144;MANGUERA DE CONEXION PH/VARIAS;PL;SUN;SUN;1
13098094;10300160;MANGUERA ALIMENTACION BLOQUE  ;PL;SUN;SUN;1
13098107;12001500;EJE/ALBERO                    ;COD;SUN;SUN;1
13098115;12001501;ANILLO O´RING/ANELLO OR       ;COD;SUN;SUN;1
13098123;12001502;TAPA SUPERIOR/LABIRINTO SUP   ;COD;SUN;SUN;1
13098131;12001503;TUERCA SUPERIOR/GHIERA SUP    ;COD;SUN;SUN;1
13098140;12001504;BRIDA/FLANGIA SUP             ;COD;SUN;SUN;1
13098158;12001505;TAPA/COPERCHIO                ;COD;SUN;SUN;1
13098166;12001506;SEPARADOR/DISTANZIALE         ;COD;SUN;SUN;1
13098174;12001507;SEPARADOR/DISTANZIALE         ;COD;SUN;SUN;1
13098182;12001508;CUERPO DE LEVA/CORPO          ;COD;SUN;SUN;1
13098191;12001509;ENGRANAJE/INGRANAGGIO MOTRICE ;COD;SUN;SUN;1
13098203;12001510;ENGRANAJE/INGRANAGGIO CONDOTTO;COD;SUN;SUN;1
13098211;12001511;ENGRANAJE/INGRANAGGIO SATELITE;COD;SUN;SUN;1
13098220;12001512;PLATO DE LEVAS/CAMMA          ;COD;SUN;SUN;1
13098238;12001513;JUNTA/ANELLO DI TENUTA        ;COD;SUN;SUN;1
13098246;12001514;EJE CORTO/CANOTTO CENTRALE    ;COD;SUN;SUN;1
13098254;12001515;CHAVETA/CHIAVETTA             ;COD;SUN;SUN;1
13098262;12001516;DISCO/DISCHETTO INFERIORE     ;COD;SUN;SUN;1
13098271;12001517;MAZA/MOZZO ALBERO PRINCIPALE  ;COD;SUN;SUN;1
13098289;12001518;AMORTIGUADOR/AMORTTIZZATORI   ;COD;SUN;SUN;1
13098297;12001519;BRIDA/FLANGIA INFERIORE       ;COD;SUN;SUN;1
13098300;12001520;SEPARADOR/RONDELLA            ;COD;SUN;SUN;1
13098318;12001521;CASQUILLO/BOCCOLA BRONZO      ;COD;SUN;SUN;1
13098326;12001522;TUERCA/GHIERA                 ;COD;SUN;SUN;1
13098334;12001523;EJE/ALBERINO                  ;COD;SUN;SUN;1
13098342;12001524;EJE/ALBERINO                  ;COD;SUN;SUN;1
13098351;12001525;RUEDA/RULLINO PER CAMMA       ;COD;SUN;SUN;1
13098369;12001526;BUJE/BRONZINA                 ;COD;SUN;SUN;1
13098377;12001527;SEPARADOR/RONDELLA            ;COD;SUN;SUN;1
13098385;12001528;BUJE/BOCCOLA                  ;COD;SUN;SUN;1
13098393;12001529;ANILLO/ANELLO                 ;COD;SUN;SUN;1
13098406;12001530;BRAZO LEVA/LEVA PRICIPALE     ;COD;SUN;SUN;1
13098414;12001531;BUJE/BRONZINA PER ALBERO      ;COD;SUN;SUN;1
13098422;12001532;SOPORTE/SUPPORTO              ;COD;SUN;SUN;1
13098431;12001533;ANILLO/ANELLO                 ;COD;SUN;SUN;1
13098449;12001534;ANILLO/ANELLO BLOCCAGGIO      ;COD;SUN;SUN;1
13098457;12001535;BRAZO LEVA/LEVA CONDOTTA      ;COD;SUN;SUN;1
