num_articulo;descripcion1;descripcion2;id_un_med_1;id_un_med_2;status
10500806;GR. TUBOLARE MR 650 E STAMPA A;LTERNATIVA REVO MULTIROLL COD:;UN;UN;1
10901206;GIUNTO PAGUFLEX PARA ENCODER S;USAR                          ;UN;UN;1
25153762;GIUNTO PARA ENCODER COD:040200;002 TECNO ITALIA.             ;UN;UN;1
12000510;GRUPPO PULEGGIA FISSA         ;COD:300AS40332A               ;UN;UN;1
11700383;GUIA DE POLIETILENO PLANO:1700;10053;UN;UN;1
10900080;GUIA DE PVC P/POLICORD DIAM.12;MM X 2 MTS. PLANO .050110099  ;UN;UN;1
11100180;FILTRO COD 5671039 2 TABLA 42 ;FIG 6.4.3 CAT 190.04A03 MAT 35;UN;UN;1
11700721;GUIA 35X35 DE TOLVA BOCA.26MM ;PLANO 0127                    ;UN;UN;1
25900092;FILTRO ACEITE MANN W 940/1 LIN;DE:H-25                       ;UN;UN;1
10300925;FUELLE DE SMU 162 CUERO CROMO ;FLOR 1.8 MM                   ;UN;UN;1
10300404;FUELLE GUARDAPOLVO  MOLDE SFS ;45X90 S/PLANO                 ;UN;UN;1
25900619;GRASA LGWA2/18 X 18 KGS       ;                              ;KG;KG;1
25700160;EXTENCION DE 3Ô CON ENCASTRE 1;/4Ô                           ;UN;UN;1
25900060;FILTRO DE AIRE C 405158 SULLAI;R LS20                        ;UN;UN;1
12100241;GRUPO REPUESTO COMPLETO SOPORT;E ANTERIOR  N¯ 130 COD:91R9002;UN;UN;1
10900117;FILTRO BZK COD:100142 P/EQUIPO; IK42 SONCEPT 4/2 ROBATECH    ;UN;UN;1
10500072;GRUPO RACLA BASSA INTERMEDIA T;AV.26 COD:1060104001 ROTOCOLOR;UN;KI;1
10500294;GRUPPO REGISTRAZIONE LATO TAMB;URO COD:G10200018 MULTI ROLL 6;UN;KI;1
10300540;FERODO DIAM. 70x45 ESP. 4,0 MM;;UN;UN;1
11100027;GHIERA DI FISSAGGIO TAB 1 FIG ;32 SIN FIN ACMC               ;UN;UN;1
12000101;GRUPPO POS31 COD:30.407.31 BMR;;UN;KI;1
12000096;GRUPPO PRESSORE POS2 COD:FK180;02R01 ANCORA                  ;UN;KI;1
10500247;GRUPPO PROTEZ SMALTO INOX 650 ;(IL CODICE 10301118E ) COD:102;UN;KI;1
10300518;FIANCATA MOTORIZZATA X RPR (RI;BALTINO) COD 0102107 FIG.2 TAV;UN;UN;1
12000544;GRUPPO PULEGGIA FOLLE COMPLETO;COD:300AS40422 BMR            ;UN;UN;1
12000545;GRUPPO PULEGGIA FOLLE COMPLETO;COD:300AS40423L BMR 75mm      ;UN;UN;1
12000546;GRUPPO PULEGGIA FOLLE COD.3000;40535;UN;KI;1
12000776;GRUPO MANDRINO CON MOTOR      ; POS.35 COD.3000043400 BMR    ;UN;UN;1
12200237;FERODO CHICO SEGUN MUESTRA    ;;UN;UN;1
11400190;FERODO COD.LP401002-2 EQUIPO A;LVAK 3-TC                     ;UN;UN;1
12200238;FERODO CON CENTRO ESTRIADO MET;ALICO S/MUESTRA               ;UN;UN;1
11600170;FUELLE DE CUERO PLANO:16001000;7;UN;UN;1
11700212;GUIDA COD:121061D SITI        ;;UN;UN;1
11700213;GUIDA COD:121063D SITI        ;;UN;UN;1
10900679;GUIDA PER PINZA COD:122806701 ;POS:26 TAV:17 PLANO:090070052 ;UN;UN;1
12900252;JUNTA AIR VALV COD:360-093-379; MOD:S30 FIG:18 SAND PIPER    ;UN;UN;1
12900155;FILTRO COD:PE15012900 TAB:7 FI;G:17 CAT:138.08.L01 PPB130    ;UN;UN;1
12100417;GRUPO REPUESTO COMPLETO RODILL;O MOTORIZADO PARA MANDRIL CON ;UN;KI;1
12100418;GRUPO REPUESTO COMPLETO RODILL;O SUELTO PARA MANDRIL CON BAND;UN;KI;1
10300647;KIT GUARNICION PISTON ESTRATTO;RE 7.5TN.ASS. COD:05583269 SMU;UN;UN;1
12000588;LASTRA COD.14005952 ANCORA    ;;UN;UN;1
12000589;LASTRA COD.14005954 ANCORA    ;;UN;UN;1
12000590;LASTRA COD.14005956 ANCORA    ;;UN;UN;1
10154601;KIT GUARNICION COD:MTD34001059; SACMI                        ;UN;KI;1
10901097;JUNTA COD.133204500 TAV.7 POS:;18 SYNTHESIS                  ;UN;UN;1
25900474;JUNTA COD.32560701 CONTROL VAL;VE AUTOELEVADOR TAILIF        ;UN;UN;1
10900597;LEVA COD:DR0070 MARFIN        ;;UN;UN;1
10900264;LEVA COD:R11609 MARFIN        ;;UN;UN;1
11700788;KIT GUARNIZIONE P/PISTON SFS C;ODIGO.SG88V 1922              ;UN;UN;1
11700787;KIT GUARNIZIONE P7PISTON SOLLE;VAMENTO MATRICE 60x60 (DOPIO E;UN;KI;1
10300891;GUARNIZIONE PISTON 2¯ CADUTA  ;SMU 90002900 COD:5583274      ;UN;UN;1
11701313;GUIDA GP 6900500 C380 POS.10 C;OD.S3150042                   ;UN;UN;1
25000025;JUEGO FV LIVERTY 295/46 BIDET ;C/TRANS A SOPAPA CROMO COD 330;UN;KI;1
25000046;JUEGO FV MONOCOMANDO P/COCINA ;S/MESADA C/PICO EXTENSIBLE 412;UN;KI;1
25000020;JUEGO FV VERACRUZ 295/47 BIDET; C/TRANSF A SOPAPA CROMO COD 3;UN;KI;1
11700389;GUIA P/TOLVA SERIGRAFICA PLANO;:170010088                    ;UN;UN;1
11701106;KIT GUARNICION FIG.5A POS.19 P;H.4608 COMM.103007 EDIZ CAT.15;UN;KI;1
11701107;KIT GUARNICION FIG.5A POS.24 P;H.4608 COMM.103007 EDIZ CAT.15;UN;KI;1
12000286;LASTRA SCORRIMENTO LV20TB60 K0;21001009;UN;UN;1
12000288;LASTRA SCORRIMENTO LV20TB60 K0;21001010;UN;UN;1
10300712;KIT SALDATORE PER CINGHIA MOD:;ROBUSTO                       ;UN;KI;1
12900325;KIT SELLO MECANICO DURO P/BOMB;A BAL.20MA COMPLETO           ;UN;KI;1
25900573;KIT SEPARADOR DE ACEITE COD.29;06056500 ATLAS COPCO          ;UN;UN;1
10300990;KIT DI PULIZIA A SFERE        ;;UN;KI;1
11700949;EXPULSOR CARRO L-B PLANO 17001;279;UN;UN;1
11700070;EXPULSOR L=1522 COD:X00093160 ;TAV.18 FIG.098 CARRO DUAL LB C;UN;UN;1
25900334;EXTENCION COD.116329 ZORRA CRO;WN PE-320-60                  ;UN;UN;1
10300614;GRIGLIA DI OTTURATORI IN RESIN;A X TAMPONI 50X50 TIPO ECO.2  ;UN;UN;1
25000037;JUEGO DE CANILLA PARA BIDET   ;;UN;KI;1
11600079;JUEGO DE FUELLES PLANO:MR1226A;2;UN;KI;1
12000756;GUIDA TAV.77.0 COD.14004236 AN;CORA                          ;UN;UN;1
10300859;KIT GUARNIZIONI PISTONE-FLANGI;A PH1600 MATRICULA:362035     ;UN;KI;1
13000544;CILINDRO DE SILICONA MOD.LASER; ROLL 650 S-22783A1 COD.ILVA 9;UN;UN;1
13000062;CILINDRO SILICONA INCISION    ;MULTIROLL 650 N¯ 9 PLENO      ;UN;UN;1
13000063;CILINDRO DE SILICONA CON INCIS;ION NORMAL PARA MULTIROLL 650 ;UN;UN;1
10300919;BOMBA PARA CENTRALINA HIDRAULI;CA                            ;UN;UN;1
25900663;BRIDA DE ESTANQUEIZADO (RETEN);COD:06A103171A P/LINDE H-35   ;UN;UN;1
29923321;BARRA DE NYLON REDONDO 70MM X ;1000MM LARGO                  ;UN;UN;1
25900664;FILTRO ACEITE COMPRESOR       ;SULLAIR COD.250026-982        ;UN;UN;1
25673441;RUEDA POLIURETANO DIAM.200x50 ;P/ 600 KGS. COD:GM82UFS       ;UN;UN;1
10301206;TAMPONE BORDINO 60x60 K100 TEM;USAR                          ;UN;UN;1
10901234;EJE CROWN PE.4000             ;CODIGO.107157-001             ;UN;UN;1
26200003;LUSTRADOR BLEM                ;LUSTRADOR BLEM                ;UN;UN;1
26200063;LUSTRADOR LEM                 ;;UN;UN;1
26200069;LUSTRAMUEBLES SHELL EN AEROSOL;;UN;LA;1
10300967;SEPARADOR CHAPADUR 300X300X6MM;;UN;UN;1
11900248;JUNTA ANTIVIBRANTE COD.220046 ;FMS 2550/119.7=COD.21100001   ;UN;UN;1
11701339;KIT GUARNIZION PER CILINDRO   ;DE 45/28 COD.SG.88V-1923      ;UN;UN;1
25156576;PULSADOR 18mm METALICO        ;MOUSE BANCO SELECCION         ;UN;UN;1
11701335;GUARNICION COLOMNA SFS 60X60  ;POSICION.7 PLANO.61302        ;UN;UN;1
22700119;V-RING TIPO:V-85-S            ;V-RING TIPO:V-85-S            ;UN;UN;1
511000021;KREUTZONIT SUPER BLUE         ;E.T. MPE - 003 V02            ;KG;KG;1
25153297;FOTOCELULA DIELL SSR/CP-1H TIP;O:PNP SAL.NC CONECTOR M12 MM M;UN;UN;1
25154086;FUSIBLE DE VIDRIO 6.3X32MM 25A;MP                            ;UN;UN;1
25153236;FUSIBLE DE VIDRIO 6.3X32MM 2AM;P                             ;UN;UN;1
25154154;GUARDAMOTOR 3RV1011-1FA10 3.50;-5.00 AMP.SIRIUS SIEMENS      ;UN;UN;1
25155957;FICHA 380V GEWISS GW60031     ;;UN;UN;1
